index,Date Sequence,Date Established,Park Name,State,Acres,Km2,NumVisitors (2021)
61,1,3/1/1872,Yellowstone,Wyoming,2219790.71,8983.20,4860242
53,2,9/25/1890,Sequoia,California,404062.63,1635.20,1059548
62,3,10/1/1890,Yosemite,California,761747.50,3082.70,3287595
44,4,3/2/1899,Mount Rainier,Washington,236381.64,956.60,1670063
13,5,5/22/1902,Crater Lake,Oregon,183224.05,741.50,647751
59,6,1/9/1903,Wind Cave,South Dakota,33970.84,137.50,709001
43,7,6/29/1906,Mesa Verde,Colorado,52485.17,212.40,548477
21,8,5/11/1910,Glacier,Montana,1013126.39,4100.00,3081656
51,9,1/26/1915,Rocky Mountain,Colorado,265807.24,1075.70,4434848
31,10,8/1/1916,Hawaiʻi Volcanoes,Hawaii,325605.28,1317.70,1262747
41,11,8/9/1916,Lassen Volcanic,California,106589.02,431.40,359635
16,12,2/26/1917,Denali,Alaska,4740911.16,19185.80,229521
0,13,2/26/1919,Acadia,Maine,49071.40,198.60,4069098
63,14,11/19/1919,Zion,Utah,147242.66,595.90,5039835
32,15,3/4/1921,Hot Springs,Arkansas,5554.15,22.50,2162884
7,16,2/25/1928,Bryce Canyon,Utah,35835.08,145.00,2104600
24,17,2/26/1929,Grand Teton,Wyoming,310044.36,1254.70,3885230
10,18,5/14/1930,Carlsbad Caverns,New Mexico,46766.45,189.30,349244
58,19,1/18/1933,White Sands,New Mexico,146344.31,592.20,782469
18,20,5/30/1934,Everglades,Florida,1508938.57,6106.50,942130
27,21,6/15/1934,Great Smoky Mountains,North Carolina,261213.44,1057.10,4324458
28,21,6/15/1934,Great Smoky Mountains,Tennessee,261213.44,1057.10,9837090
54,23,12/26/1935,Shenandoah,Virginia,200192.09,810.10,1592312
47,24,6/29/1938,Olympic,Washington,922649.41,3733.80,2718925
38,25,3/4/1940,Kings Canyon,California,461901.20,1869.20,562918
34,26,4/3/1940,Isle Royale,Michigan,571790.30,2314.00,25844
42,27,7/1/1941,Mammoth Cave,Kentucky,54016.29,218.60,515774
4,28,6/12/1944,Big Bend,Texas,801163.21,3242.20,581220
56,29,8/2/1956,Virgin Islands,U.S. Virgin Islands,15052.33,60.90,323999
30,30,7/1/1961,Haleakalā,Hawaii,33264.62,134.60,853181
48,31,12/9/1962,Petrified Forest,Arizona,221390.21,895.90,590334
8,32,9/12/1964,Canyonlands,Utah,337597.83,1366.20,911594
29,33,10/15/1966,Guadalupe Mountains,Texas,86367.10,349.50,243291
46,34,10/2/1968,North Cascades,Washington,504780.94,2042.80,17855
50,35,10/2/1968,Redwood,California,138999.37,562.50,435879
2,36,11/12/1971,Arches,Utah,76678.98,310.30,1806865
9,37,12/18/1971,Capitol Reef,Utah,241904.50,979.00,1405353
57,38,4/8/1975,Voyageurs,Minnesota,218222.35,883.10,243042
3,39,11/10/1978,Badlands,South Dakota,242755.94,982.40,1224226
55,40,11/10/1978,Theodore Roosevelt,North Dakota,70446.89,285.10,796085
11,41,3/5/1980,Channel Islands,California,249561.00,1009.90,319252
5,42,6/28/1980,Biscayne,Florida,172971.11,700.00,705655
19,43,12/2/1980,Gates of the Arctic,Alaska,7523897.45,30448.10,7362
22,44,12/2/1980,Glacier Bay,Alaska,3223383.43,13044.60,89768
36,45,12/2/1980,Katmai,Alaska,3674529.33,14870.30,24764
37,46,12/2/1980,Kenai Fjords,Alaska,669650.05,2710.00,411782
39,47,12/2/1980,Kobuk Valley,Alaska,1750716.16,7084.90,11540
40,48,12/2/1980,Lake Clark,Alaska,2619816.49,10602.00,18278
60,49,12/2/1980,Wrangell–St. Elias,Alaska,8323146.48,33682.60,50189
25,50,10/27/1986,Great Basin,Nevada,77180.00,312.30,144875
1,51,10/31/1988,American Samoa,American Samoa,8256.67,33.40,8495
17,52,10/26/1992,Dry Tortugas,Florida,64701.22,261.80,83817
52,53,10/14/1994,Saguaro,Arizona,92867.42,375.80,1079786
15,54,10/31/1994,Death Valley,California,3408395.63,13793.30,1146551
35,55,10/31/1994,Joshua Tree,California,795155.85,3217.90,3064400
6,56,10/21/1999,Black Canyon of the Gunnison,Colorado,30779.83,124.60,308910
14,57,10/11/2000,Cuyahoga Valley,Ohio,32571.88,131.80,2575275
12,58,11/10/2003,Congaree,South Carolina,26692.60,108.00,215181
26,59,9/13/2004,Great Sand Dunes,Colorado,107345.73,434.40,602613
49,60,1/10/2013,Pinnacles,California,26685.73,108.00,348857
20,61,2/22/2018,Gateway Arch,Missouri,91.00,0.40,1145081
33,62,2/15/2019,Indiana Dunes,Indiana,15349.08,62.10,3177210
23,63,2/26/2019,Grand Canyon,Arizona,1201647.03,4862.90,4532677
45,64,12/27/2020,New River Gorge,West Virginia,70808.00,294.41,1682720
